target_name,target_ra_hms,target_dec_dms
3651,00 39 22.09,+21 15 04.90
4628,00 48 22.53,+05 17 00.20   
9407,01 34 33.88,+68 56 52.3    
10476,01 42 29.95,+20 16 12.5    
10700,01 44 05.13,-15 56 22.4    
16160,02 36 04.895,+06 53 12.75   
17156,02 49 44.490,+71 45 11.60   
18803,03 02 25.87,+26 36 34.70   
22049,03 32 56.42,-09 27 29.9    
26965,04 15 16.3196,-07 39 10.3404 
32147,05 00 49.00,-05 45 13.2    
34411,05 19 08.08,+40 06 02.4    
38858,05 48 34.90,-04 05 38.7    
50692,06 55 18.69,+25 22 32.3    
52711,07 03 30.35,+29 20 20.7    
55575,07 15 50.11,+47 14 25.5    
69830,08 18 23.78,-12 37 47.2    
71148,08 27 36.80,+45 39 13.8    
75732,08 52 36.13,+28 19 53.0    
76151,08 54 18.19,-05 26 04.3    
84737,09 48 35.18,+46 01 16.4    
86728,10 01 01.02,+31 55 29.0    
89269,10 18 51.94,+44 02 53.96   
89744,10 22 10.56,+41 13 46.3    
95128,10 59 27.974,+40 25 48.92   
95735,11 03 20.160,+35 58 12.00   
99491,11 26 45.75,+03 00 45.6    
99492,11 26 46.278,+03 00 22.76   
101501,11 41 03.016,+34 12 05.88   
103095,11 52 58.7693,+37 43 07.2343 
104304,12 00 44.46,-10 26 46.1    
105631,12 09 37.496,+40 15 07.85   
110897,12 44 59.41,+39 16 44.1    
114783,13 12 43.87,-02 15 54.2    
115617,13 18 24.31,-18 18 40.30   
117043,13 26 00.37,+63 15 38.7    
120066,13 46 57.1225,+06 21 01.3461 
122064,13 57 32.1,+61 29 32.4    
126053,14 23 15.28,01 14 29.60    
127334,14 29 36.8,+41 47 45.2893 
131511,14 53 24.040,+19 09 08.18   
136923,15 22 46.83,+18 55 08.30   
141004,15 46 26.6,+07 21 11      
143761,16 01 02.66,+33 18 12.63   
145675,16 10 24.32,+43 49 03.5    
146233,16 15 37.27,-08 22 10      
154345,17 02 36.300,+47 04 47.30   
157214,17 20 39.48,+32 28 13.0    
157347,17 22 51.288,-02 23 17.44   
158259,17 25 24.06,+52 47 26.5    
158633,17 25 00.90,+67 18 24.11   
159222,17 32 00.99,+34 16 16.1
161797,17 46 27.530,+27 43 14.40   
164922,18 02 30.86,+26 18 46.8    
166620,18 09 37.42,+38 27 28.0    
168009,18 15 32.46,+45 12 33.5    
182488,19 23 34.01,+33 13 19.1    
183756,19 30 31.69,+12 49 00.8    
185144,19 32 21.59,+69 39 40.2    
186408,19 41 48.95,+50 31 31.60   
186427,19 41 51.97,+50 31 03.21   
190404,20 03 52.1,+23 20 26.5    
190406,20 04 06.22,+17 04 12.7    
191785,20 11 06.07,+16 11 16.8    
193664,20 17 30.63,+66 51 10.70   
197076,20 40 45.14,+19 56 07.9    
199960,21 00 33.84,-04 43 48.9    
210277,22 09 29.82,-07 32 51.20   
217014,22 57 27.85,+20 46 07.3    
218868,23 10 50.08,+45 30 44.2    
219134,23 13 16.97,+57 10 06.1    
221354,23 31 20.95,+59 09 54.9    
